Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00576475076698013,-0.000282621352115014,-0.0254987349464202,0,0,0,1.88538793284251,0.0132728168369738,4.61289523752377E-07,-5.9035519634991E-06,0.042111764464268,5.08066054412427E-08,0.0541085186542932,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/base_link.STL,,Frame-1,Centre_Link_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_Link,0.0034562,-0.030782,-0.0002313,0,0,0,0.62031,0.0028703,-0.00025171,-2.1254E-06,0.005086,1.6644E-05,0.0028421,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/FL_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/FL_Link.STL,,wheel-3,FL_CoordinateSystem,FL_Axis,FL_Joint,continuous,0.46435,0.33806,-0.36495,0,0,0,base_link,0,1,0,,,,,,,,,,,,
FR_Link,0.0057715,0.030434,-0.00011696,0,0,0,0.62031,0.0029208,0.00041578,-1.3826E-06,0.0050355,-8.6937E-06,0.0028421,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/FR_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/FR_Link.STL,,wheel-2,FR_CoordinateSystem,FR_Axis,FR_Joint,continuous,0.47521,-0.33771,-0.35104,0,0,0,base_link,0,1,0,,,,,,,,,,,,
BL_Link,-0.00028074,-0.030975,1.4632E-05,0,0,0,0.62031,0.002842,2.0659E-05,-1.1565E-07,0.0051142,-1.366E-06,0.0028423,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/BL_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/BL_Link.STL,,wheel-4,BL_CoordinateSystem,BL_Axis,BL_Joint,continuous,-0.50437,0.33826,-0.32267,0,0,0,base_link,0,1,0,,,,,,,,,,,,
BR_Link,0.0057679,0.030435,-0.00012399,0,0,0,0.62031,0.0029206,0.00041587,-1.5095E-06,0.0050356,-8.6825E-06,0.0028424,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/BR_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/BR_Link.STL,,wheel-1,BR_CoordinateSystem,BR_Axis,BR_Joint,continuous,-0.49861,-0.33771,-0.33765,0,0,0,base_link,0,1,0,,,,,,,,,,,,
Bottom_EBox_Link,0.012241,0.0062207,0.10763,0,0,0,2.005,0.042455,-0.0044655,0.0002535,0.040805,0.00070604,0.072752,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/Bottom_EBox_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/Bottom_EBox_Link.STL,,V2 Electronics Box-1,Bottom_Elec_box_CS,,Bottom_EBox_Joint,fixed,-0.20871,0.0007866,0.011577,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Camera_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/Camera_Link.STL,1,1,1,1,0,0,0,0,0,0,package://Simplified Rover.SLDASM/meshes/Camera_Link.STL,,IntelRealsense_D435_Multibody-1,Camera_CoordinateSystem,Axis_Camera_Joint2,Camera_Joint,prismatic,0.41296,0,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
